date,n,pct_above_ma10,pct_above_ma5,pct_rsi_lt40,pct_up,pct_above_ma5_prev,idx_close,idx_ret,ma5,ma10,rsi,K,D,macd,macd_prev,vol,vol_avg5,max10,drawdown10,J,K_prev,D_prev,oversold_recent
2025-02-20,1359,0.0294334069168506,0.0537159676232523,0.0316409124356144,0.083149374540103,,2225.584,,,,,,,0.0,,28037885701.0,,,,,,,False
2025-02-21,1359,0.0301692420897718,0.0625459896983075,0.3208241353936718,0.6320824135393672,0.0537159676232523,2281.512,0.025129583965377345,,,100.0,,,7.138388603989005,0.0,33303997251.0,,,,,,,False
2025-02-24,1358,0.0338733431516936,0.0751104565537555,0.3144329896907216,0.487481590574374,0.0625459896983075,2266.244,-0.006692053340065729,,,97.94323833540788,,,9.273380147239077,7.138388603989005,31429001053.0,,,,,,,False
2025-02-25,1358,0.0346097201767304,0.0743740795287187,0.312960235640648,0.3438880706921944,0.0751104565537555,2240.589,-0.01132049329198448,,,94.42874489259489,,,6.813535502808721,9.273380147239077,29271132403.0,,,,,,,False
2025-02-26,1359,0.0596026490066225,0.6916850625459897,0.2656364974245769,0.7557027225901398,0.0743740795287187,2268.215,0.012329793639083375,2256.4288,,94.6513145751125,,,8.387694139761722,6.813535502808721,29722503298.0,,,,,,,False
2025-02-27,1359,0.0507726269315673,0.4915378955114054,0.2634289919058131,0.3134657836644591,0.6916850625459897,2256.508,-0.005161327299220031,2262.6136,,92.95656581019333,,,7.36837029145072,8.387694139761722,30727330595.0,30352903941.2,,,,,,False
2025-02-28,1359,0.0176600441501103,0.1236203090507726,0.3495217071376011,0.0706401766004415,0.4915378955114054,2170.392,-0.038163392285779585,2240.3896,,81.40938272279892,,,-4.737074594415535,7.36837029145072,28146450381.0,30890792920.0,,,,,,False
2025-03-03,1359,0.0228108903605592,0.1788079470198675,0.3134657836644591,0.6504782928623988,0.1236203090507726,2196.525,0.012040682051905893,2226.4458,,82.13464924483367,,,-8.818763305601287,-4.737074594415535,24792094383.0,29859283546.0,,,,,,False
2025-03-04,1360,0.0492647058823529,0.4294117647058823,0.2551470588235294,0.8051470588235294,0.1788079470198675,2190.078,-0.00293509065455666,2216.3436,,81.29208088465442,23.59857540127819,23.59857540127819,-11.795607454507211,-8.818763305601287,22587616612.0,28531902212.0,,,23.598575401278183,,,False
2025-03-05,1359,0.4025018395879323,0.5599705665930832,0.2516556291390728,0.4797645327446652,0.4294117647058823,2190.362,0.00012967574670863513,2200.773,2228.6009,81.30118081933514,23.67555143571144,23.624234079422607,-13.037907381176733,-11.795607454507211,23326067714.0,27195199053.8,2281.512,0.03995157597242534,23.77818614828911,23.59857540127819,23.59857540127819,False
2025-03-06,1358,0.7106038291605302,0.9057437407952872,0.1944035346097201,0.8939617083946981,0.5599705665930832,2234.689,0.02023729410937536,2196.4092,2229.5114000000003,82.71446741419065,35.781691190762686,27.676719783202632,-7.476746414832709,-13.037907381176733,30691077462.0,25915911937.0,2281.512,0.020522793656136948,51.991634005882794,23.67555143571144,23.624234079422607,False
2025-03-07,1358,0.5360824742268041,0.6435935198821797,0.2106038291605302,0.2695139911634757,0.9057437407952872,2205.307,-0.013148138286804167,2203.3922,2221.8909,78.4802409382537,36.319777011344584,30.557738859249948,-7.333664560129606,-7.476746414832709,28706509815.0,25908661310.4,2268.215,0.027734584243557313,47.843853315533856,35.781691190762686,27.676719783202632,False
