date,high,low,close,volume
2025-02-20,2233.983,2204.641,2225.584,28037885701
2025-02-21,2284.038,2228.917,2281.512,33303997251
2025-02-24,2283.79,2245.614,2266.244,31429001053
2025-02-25,2265.911,2224.458,2240.589,29271132403
2025-02-26,2268.569,2232.309,2268.215,29722503298
2025-02-27,2279.387,2225.532,2256.508,30727330595
2025-02-28,2240.776,2163.687,2170.392,28146450381
2025-03-03,2232.198,2161.359,2196.525,24792094383
2025-03-04,2193.532,2161.056,2190.078,22587616612
2025-03-05,2200.87,2173.904,2190.362,23326067714
2025-03-06,2243.279,2202.007,2234.689,30691077462
2025-03-07,2226.004,2195.128,2205.307,28706509815
2025-03-10,2217.774,2182.581,2199.877,23158429894
2025-03-11,2204.03,2171.267,2204.03,22092783100
2025-03-12,2214.973,2191.099,2191.268,26604450431
2025-03-13,2200.91,2154.949,2166.004,25042274557
2025-03-14,2233.83,2161.89,2226.716,26586008830
2025-03-17,2233.333,2212.018,2215.127,24550517179
2025-03-18,2242.217,2215.373,2228.644,23840841482
2025-03-19,2237.95,2208.256,2222.347,22968095475
2025-03-20,2221.606,2198.375,2200.032,23583954503
2025-03-21,2201.417,2149.091,2152.279,26088641653
2025-03-24,2160.464,2125.129,2152.555,24385877842
2025-03-25,2165.015,2136.607,2145.479,19869731524
2025-03-26,2157.78,2139.902,2139.902,18420319141
2025-03-27,2165.16,2117.755,2145.095,19171687867
2025-03-28,2152.398,2128.209,2128.209,17955464086
2025-03-31,2123.872,2087.129,2103.699,18606140083
2025-04-01,2127.538,2100.297,2101.878,17136825804
2025-04-02,2121.555,2097.824,2104.625,15132911479
2025-04-03,2097.67,2057.634,2065.403,16397924585
2025-04-07,1939.269,1756.64,1807.206,30407557575
2025-04-08,1877.441,1812.128,1840.312,25668214136
2025-04-09,1872.929,1777.248,1858.356,27945229735
2025-04-10,1944.102,1897.335,1900.528,25668684963
2025-04-11,1943.435,1884.599,1926.37,20237823723
2025-04-14,1956.156,1928.633,1932.913,19193506347
2025-04-15,1940.747,1918.436,1930.399,16842254976
2025-04-16,1919.093,1879.776,1907.109,17049971365
2025-04-17,1923.53,1892.474,1908.776,15001282078
2025-04-18,1917.593,1898.78,1913.97,14686095279
2025-04-21,1947.562,1901.813,1944.318,16743253700
2025-04-22,1939.688,1923.374,1928.432,17145814898
2025-04-23,1962.678,1935.681,1949.162,19999589043
2025-04-24,1958.216,1930.902,1935.858,18154588432
2025-04-25,1960.634,1937.706,1947.186,16997550933
2025-04-28,1951.16,1930.064,1934.457,16239196038
2025-04-29,1941.175,1923.856,1931.942,15966456284
2025-04-30,1954.623,1931.836,1948.03,16629885574
2025-05-06,1988.051,1964.458,1986.409,20452047955
2025-05-07,2035.474,1982.374,1996.51,23653504827
2025-05-08,2036.101,1991.655,2029.452,20799499536
2025-05-09,2028.427,2004.477,2011.767,19203420690
2025-05-12,2066.313,2038.336,2064.714,19483071725
2025-05-13,2091.349,2058.741,2062.261,19752887576
2025-05-14,2103.369,2051.823,2083.142,19329189521
2025-05-15,2076.042,2043.097,2043.247,17673170258
2025-05-16,2050.888,2035.865,2039.445,16327575503
2025-05-19,2038.048,2017.167,2032.756,16591258693
2025-05-20,2059.516,2025.855,2048.459,18531715006
2025-05-21,2077.481,2050.207,2065.39,17558827935
2025-05-22,2065.413,2043.894,2045.566,16978025799
2025-05-23,2060.093,2021.499,2021.499,17839165926
2025-05-26,2023.485,1991.785,2005.259,14778711915
2025-05-27,2001.622,1983.898,1991.643,15097227436
2025-05-28,2001.951,1981.668,1985.383,16073660505
2025-05-29,2016.214,1986.629,2012.548,19615377832
2025-05-30,2004.504,1988.186,1993.188,19207084090
2025-06-03,2012.24,1985.567,2002.7,18511574738
2025-06-04,2030.922,2009.374,2024.933,18504149321
2025-06-05,2053.563,2014.435,2048.615,20848380812
2025-06-06,2051.912,2034.098,2039.435,17810899136
2025-06-09,2075.58,2045.644,2061.291,20282746568
2025-06-10,2063.871,2023.168,2037.271,23768780842
2025-06-11,2076.913,2044.284,2061.867,20845583085
2025-06-12,2076.838,2051.24,2067.154,21402132576
2025-06-13,2065.867,2036.963,2043.824,24178096873
2025-06-16,2062.423,2038.699,2057.323,20370262370
2025-06-17,2063.084,2045.054,2049.943,21685353341
2025-06-18,2059.376,2039.248,2054.729,21130444823
2025-06-19,2057.765,2021.176,2026.817,22178848260
2025-06-20,2036.019,2007.507,2009.893,19030801593
2025-06-23,2021.763,1996.962,2017.634,20025034128
2025-06-24,2065.836,2024.702,2064.135,24784030051
2025-06-25,2133.034,2072.866,2128.392,26753719715
2025-06-26,2142.21,2113.137,2114.425,26941120880
2025-06-27,2146.036,2112.745,2124.344,24228122325
2025-06-30,2154.0,2128.78,2153.014,23847288167
2025-07-01,2152.918,2134.571,2147.919,24861511612
2025-07-02,2140.14,2118.552,2123.719,23427887136
2025-07-03,2168.61,2130.739,2164.088,21933757577
2025-07-04,2187.884,2153.621,2156.234,23229463094
2025-07-07,2155.686,2126.323,2130.186,18887255443
2025-07-08,2183.057,2129.489,2181.077,22827282051
2025-07-09,2204.635,2179.109,2184.675,23366909133
2025-07-10,2199.71,2174.211,2189.577,22055990969
2025-07-11,2223.305,2181.186,2207.097,23842646073
2025-07-14,2208.076,2189.08,2197.068,20214601116
2025-07-15,2245.44,2209.902,2235.049,22484388681
2025-07-16,2259.635,2227.823,2230.194,20510981734
2025-07-17,2269.668,2228.524,2269.327,21348549257
2025-07-18,2296.911,2263.971,2277.152,21196707708
2025-07-21,2297.136,2273.809,2296.883,22542405159
2025-07-22,2313.459,2290.378,2310.856,24246464787
2025-07-23,2333.31,2304.63,2310.671,23415958182
2025-07-24,2345.367,2318.417,2345.367,23323197809
2025-07-25,2350.062,2332.025,2340.056,22571518586
2025-07-28,2366.507,2334.16,2362.6,21686423753
2025-07-29,2406.594,2355.375,2406.594,23071609941
2025-07-30,2395.885,2349.182,2367.684,25030490858
2025-07-31,2394.216,2321.716,2328.313,25275364453
2025-08-01,2348.015,2304.385,2322.627,22816838411
2025-08-04,2334.43,2304.483,2334.323,21183884781
2025-08-05,2350.996,2323.739,2343.376,22517728715
2025-08-06,2359.823,2335.95,2358.955,25489331299
2025-08-07,2372.683,2322.805,2342.861,25797855397
2025-08-08,2353.988,2330.01,2333.959,24349547340
2025-08-11,2384.86,2336.929,2379.816,24490980549
2025-08-12,2409.398,2368.813,2409.398,24488379168
2025-08-13,2497.857,2414.482,2496.504,27243425162
2025-08-14,2513.37,2463.858,2469.656,29313157882
2025-08-15,2541.894,2464.666,2534.219,28003965052
