B,R,tol,Rb,recall,false,relax,n_confirm_days
0.6,0.45,0.02,0.08,3,0,2.9333,170
0.65,0.375,0.0125,0.01,3,0,2.9321,151
0.65,0.375,0.0175,0.06,3,0,2.9321,174
0.675,0.4,0.015,0.01,3,0,2.9302,173
0.675,0.4,0.02,0.06,3,0,2.9302,191
0.625,0.375,0.015,0.05,3,0,2.9286,154
0.625,0.375,0.02,0.1,3,0,2.9286,160
0.6,0.475,0.015,0.02,3,0,2.9278,160
0.6,0.475,0.02,0.07,3,0,2.9278,178
0.65,0.4,0.0125,0.0,3,0,2.9266,158
0.6,0.375,0.0125,0.04,3,0,2.925,135
0.6,0.375,0.0175,0.09,3,0,2.925,149
0.675,0.425,0.015,0.0,3,0,2.9246,179
0.625,0.4,0.015,0.04,3,0,2.923,156
0.625,0.4,0.02,0.09,3,0,2.923,164
0.6,0.5,0.015,0.01,3,0,2.9222,167
0.6,0.5,0.02,0.06,3,0,2.9222,184
0.6,0.4,0.0125,0.03,3,0,2.9194,137
0.6,0.4,0.0175,0.08,3,0,2.9194,157
0.625,0.425,0.015,0.03,3,0,2.9175,156
0.625,0.425,0.02,0.08,3,0,2.9175,170
0.6,0.525,0.015,0.0,3,0,2.9167,177
0.7,0.375,0.015,0.01,3,0,2.9143,174
0.7,0.375,0.02,0.06,3,0,2.9143,192
0.6,0.425,0.0125,0.02,3,0,2.9139,138
0.6,0.425,0.0175,0.07,3,0,2.9139,161
0.625,0.45,0.015,0.02,3,0,2.9119,161
0.625,0.45,0.02,0.07,3,0,2.9119,179
0.675,0.375,0.0125,0.0,3,0,2.9107,159
0.7,0.4,0.015,0.0,3,0,2.9087,183
0.6,0.45,0.0125,0.01,3,0,2.9083,146
0.6,0.45,0.0175,0.06,3,0,2.9083,168
0.65,0.375,0.015,0.04,3,0,2.9071,157
0.65,0.375,0.02,0.09,3,0,2.9071,165
0.625,0.475,0.015,0.01,3,0,2.9063,168
0.625,0.475,0.02,0.06,3,0,2.9063,185
0.625,0.375,0.0125,0.03,3,0,2.9036,138
0.625,0.375,0.0175,0.08,3,0,2.9036,158
0.6,0.475,0.0125,0.0,3,0,2.9028,153
0.65,0.4,0.015,0.03,3,0,2.9016,160
