date,n,pct_below_ma5,pct_down3,pct_above_ma10,pct_rsi_lt30,pct_rsi_lt35,pct_rsi_lt40,pct_rsi_lt45,pct_k_lt20,pct_k_lt25,pct_k_lt30,turnover_med,turnover_rel5,idx_close,idx_ret,idx_up,idx_new10high,idx_5d_low
2025-02-20,5345,0.0190832553788587,0.0336763330215154,0.0209541627689429,0.0340505144995322,0.0359214218896164,0.0372310570626754,0.0385406922357343,0.0029934518241347,0.0061739943872778,0.0076707202993451,9445787.0,0.9144578661540012,3350.783,-0.0002255680151715,False,False,False
2025-02-21,5347,0.021881428838601,0.0168318683373854,0.0228165326351225,0.409388442117075,0.4106975874322049,0.4123807742659435,0.4149990648962035,0.0024312698709556,0.004675518982607,0.0061716850570413,10799624.0,1.0401075084845148,3379.113,0.0084547402801076,True,True,False
2025-02-24,5344,0.0217065868263473,0.0370508982035928,0.0254491017964071,0.3847305389221557,0.3961452095808383,0.405688622754491,0.4152320359281437,0.0024326347305389,0.0044910179640718,0.0052395209580838,11000119.0,1.0243086389563325,3373.028,-0.0018007684265072,False,False,False
2025-02-25,5342,0.0604642456008985,0.5290153500561587,0.0248970423062523,0.3850617746162486,0.4009734181954324,0.4127667540247098,0.4239985024335455,0.0058030700112317,0.0084238113066267,0.010108573567952,9561059.0,0.8790627000542568,3346.04,-0.0080011194689163,False,False,True
2025-02-26,5343,0.3301516002245929,0.3894815646640464,0.0445442635223657,0.3211678832116788,0.3479318734793187,0.3688938798427849,0.3885457608085345,0.0046790192775594,0.0072992700729927,0.0091708777840164,10188373.0,0.9842586974591696,3380.214,0.0102132670260965,True,True,False
2025-02-27,5341,0.4270735817262684,0.4433626661673844,0.0421269425201273,0.2967609061973413,0.3315858453473132,0.3594832428384197,0.3855083317730762,0.0039318479685452,0.0076764650814454,0.0097360044935405,10863888.0,1.0651922831122025,3388.062,0.0023217464929734,True,True,False
2025-02-28,5342,0.7931486334706103,0.6770872332459753,0.0207787345563459,0.3416323474354174,0.3764507675028079,0.4105204043429427,0.4414077124672407,0.0142268813178584,0.0183451890677648,0.0232122800449269,10596882.5,1.010900898884692,3320.897,-0.0198240173881115,False,False,True
2025-03-03,5340,0.7226591760299625,0.7586142322097378,0.0239700374531835,0.298876404494382,0.3436329588014981,0.3801498127340824,0.4187265917602996,0.0282771535580524,0.0378277153558052,0.046067415730337,9649009.0,0.9240518658748348,3316.925,-0.0011960623891676,False,False,True
2025-03-04,5342,0.531074503931112,0.675215275177836,0.0518532384874578,0.2411081991763384,0.2940846125046799,0.3356420816173717,0.3757019842755522,0.1594908274054661,0.2416697865967802,0.3230999625608386,8448166.0,0.8305443351200991,3324.21,0.0021963113425838,True,False,True
2025-03-05,5341,0.4744429882044561,0.2859015165699307,0.4343755850964239,0.2359108781127129,0.290582287961056,0.3323347687698932,0.3812020220932409,0.1471634525369781,0.2325407227111028,0.3192286088747426,8752021.0,0.8796651957269964,3341.965,0.0053411186417224,True,False,False
