date,high,low,close,volume
2025-02-20,1215.474,1197.798,1210.684,4016079200.0
2025-02-21,1266.091,1211.925,1263.68,5120557200.0
2025-02-24,1274.998,1248.091,1263.095,4733407200.0
2025-02-25,1282.543,1240.849,1266.445,4402899900.0
2025-02-26,1293.321,1259.32,1292.398,4818860700.0
2025-02-27,1304.325,1263.81,1292.216,4841414600.0
2025-02-28,1287.642,1230.448,1233.614,4862753900.0
2025-03-03,1255.048,1219.221,1227.519,4044420500.0
2025-03-04,1253.313,1215.917,1249.103,3657628900.0
2025-03-05,1258.88,1238.411,1253.741,3506116200.0
2025-03-06,1296.6,1266.894,1292.043,4491746900.0
2025-03-07,1293.814,1270.28,1278.06,3864904900.0
2025-03-10,1285.063,1264.029,1280.332,3506814800.0
2025-03-11,1279.522,1259.481,1276.868,3249433200.0
2025-03-12,1287.415,1269.816,1269.852,3279715500.0
2025-03-13,1271.305,1232.963,1241.031,3502870500.0
2025-03-14,1262.543,1235.739,1261.62,3319634200.0
2025-03-17,1265.845,1254.138,1262.833,2980592800.0
2025-03-18,1282.106,1265.97,1269.227,3054909300.0
2025-03-19,1269.069,1252.034,1255.852,2880711800.0
2025-03-20,1258.624,1244.468,1245.247,2757477100.0
2025-03-21,1243.301,1209.829,1214.61,3024839100.0
2025-03-24,1220.192,1187.097,1208.351,2907665000.0
2025-03-25,1214.451,1191.618,1195.266,2357343200.0
2025-03-26,1209.456,1193.246,1198.349,2158968300.0
2025-03-27,1224.515,1187.864,1207.211,2527478400.0
2025-03-28,1215.084,1195.652,1195.652,2275953400.0
2025-03-31,1197.155,1175.32,1190.882,2595530000.0
2025-04-01,1214.909,1195.458,1202.245,2632361000.0
2025-04-02,1214.552,1199.972,1204.2,2096716500.0
2025-04-03,1212.171,1183.309,1188.961,2405448300.0
2025-04-07,1136.872,1004.9,1041.418,4785034200.0
2025-04-08,1082.996,1041.062,1061.938,3802747900.0
2025-04-09,1108.357,1016.764,1102.123,3982365700.0
2025-04-10,1145.957,1121.616,1124.858,3382192400.0
2025-04-11,1172.712,1119.234,1157.674,3406259100.0
2025-04-14,1177.497,1158.541,1164.645,2856347400.0
2025-04-15,1166.016,1145.934,1158.808,2196299800.0
2025-04-16,1164.394,1136.376,1154.706,2323856100.0
2025-04-17,1170.933,1146.877,1159.926,2148352800.0
2025-04-18,1159.621,1145.711,1152.509,1867422600.0
2025-04-21,1175.105,1149.334,1174.535,2158923300.0
2025-04-22,1181.328,1166.311,1173.23,2370091200.0
2025-04-23,1182.179,1168.564,1173.637,2455375900.0
2025-04-24,1174.128,1156.281,1162.179,2306207600.0
2025-04-25,1168.774,1150.687,1161.351,2315549500.0
2025-04-28,1164.882,1150.229,1158.844,2265869900.0
2025-04-29,1165.555,1150.696,1163.196,2312147200.0
2025-04-30,1179.781,1161.565,1176.875,2926923700.0
2025-05-06,1199.54,1182.829,1199.388,3108433900.0
2025-05-07,1219.668,1190.831,1201.413,3265025000.0
2025-05-08,1208.015,1194.186,1203.898,2886866900.0
2025-05-09,1200.922,1178.86,1181.959,2744126600.0
2025-05-12,1198.139,1181.934,1192.889,2909415400.0
2025-05-13,1205.706,1188.354,1188.819,2783588700.0
2025-05-14,1197.145,1179.767,1186.988,2512131400.0
2025-05-15,1185.21,1167.884,1168.83,2055831500.0
2025-05-16,1175.947,1164.459,1170.197,2152689000.0
2025-05-19,1174.72,1160.051,1172.024,2280597700.0
2025-05-20,1181.949,1170.436,1178.22,2228160000.0
2025-05-21,1179.468,1171.426,1175.024,2290482500.0
2025-05-22,1182.711,1166.464,1167.888,2319030200.0
2025-05-23,1175.311,1155.224,1155.224,2419947600.0
2025-05-26,1161.069,1151.827,1159.801,2066646400.0
2025-05-27,1160.253,1149.926,1153.527,2052627500.0
2025-05-28,1157.881,1146.8,1148.832,1943658200.0
2025-05-29,1174.691,1150.397,1174.691,2572716600.0
2025-05-30,1170.249,1160.753,1163.35,2380168400.0
2025-06-03,1179.699,1161.317,1172.196,2720963000.0
2025-06-04,1182.046,1172.161,1178.469,2315008300.0
2025-06-05,1194.587,1174.079,1192.945,2734388300.0
2025-06-06,1193.91,1187.419,1191.387,2485592300.0
2025-06-09,1210.193,1191.817,1206.046,2869386500.0
2025-06-10,1210.617,1179.91,1189.694,3068825900.0
2025-06-11,1198.201,1187.766,1188.306,2298157600.0
2025-06-12,1192.015,1181.786,1190.296,2641012400.0
2025-06-13,1190.272,1171.585,1178.398,3575855900.0
2025-06-16,1186.491,1174.916,1182.334,2588077400.0
2025-06-17,1185.179,1167.922,1171.742,2614245400.0
2025-06-18,1180.582,1166.564,1179.56,2399846100.0
2025-06-19,1187.6,1165.247,1168.826,2668613700.0
2025-06-20,1177.125,1160.27,1160.8,2366872800.0
2025-06-23,1176.168,1155.042,1173.815,2548333600.0
2025-06-24,1198.244,1176.223,1198.116,3049253500.0
2025-06-25,1217.843,1198.371,1217.09,3389325600.0
2025-06-26,1222.786,1207.35,1207.35,3251217300.0
2025-06-27,1217.777,1206.23,1209.286,2947334800.0
2025-06-30,1230.415,1213.167,1229.825,3252925100.0
2025-07-01,1230.73,1218.397,1228.658,3163450800.0
2025-07-02,1225.62,1206.648,1210.51,2846974400.0
2025-07-03,1220.437,1211.059,1219.325,2700863600.0
2025-07-04,1230.849,1207.68,1215.289,2973234600.0
2025-07-07,1218.421,1207.722,1210.573,2400818900.0
2025-07-08,1227.117,1210.315,1226.31,3167734900.0
2025-07-09,1228.231,1216.156,1218.355,2850395200.0
2025-07-10,1220.865,1212.065,1215.188,2724547500.0
2025-07-11,1235.646,1212.797,1230.612,3135705700.0
2025-07-14,1236.654,1228.284,1233.382,2874615200.0
2025-07-15,1239.456,1222.687,1237.333,3243245600.0
2025-07-16,1250.677,1236.472,1242.812,2974225000.0
2025-07-17,1262.512,1239.472,1262.486,3485966800.0
2025-07-18,1270.038,1258.989,1267.724,3621828700.0
2025-07-21,1273.844,1266.403,1273.039,3744606500.0
2025-07-22,1286.726,1271.017,1279.991,4233269700.0
2025-07-23,1292.48,1273.846,1283.895,3907226700.0
2025-07-24,1301.169,1284.007,1301.169,4547807400.0
2025-07-25,1321.643,1295.288,1317.827,4484777800.0
2025-07-28,1330.995,1314.531,1328.523,4263663200.0
2025-07-29,1352.149,1325.207,1352.149,4624294200.0
2025-07-30,1354.034,1325.748,1337.409,4571013700.0
2025-07-31,1352.242,1324.636,1328.7,4784254000.0
2025-08-01,1343.065,1316.588,1326.405,4192444200.0
2025-08-04,1345.647,1318.572,1345.647,4165795600.0
2025-08-05,1352.373,1341.339,1352.373,3986901700.0
2025-08-06,1366.401,1347.578,1366.073,4401257000.0
2025-08-07,1373.573,1356.367,1361.181,4530180500.0
2025-08-08,1356.787,1343.443,1346.972,4405989800.0
2025-08-11,1373.64,1347.749,1370.524,4610994200.0
2025-08-12,1385.361,1360.419,1382.091,4589747000.0
2025-08-13,1403.424,1382.377,1402.738,4913397800.0
2025-08-14,1417.573,1389.495,1391.999,5169533600.0
2025-08-15,1423.995,1387.582,1423.148,5036093900.0
2025-08-18,1467.018,1428.968,1457.409,6315252900.0
2025-08-19,1465.162,1442.066,1445.753,5350781800.0
2025-08-20,1472.402,1426.002,1472.376,5213204800.0
2025-08-21,1493.709,1454.794,1462.605,4894814900.0
2025-08-22,1539.61,1470.589,1539.573,6082278500.0
2025-08-25,1596.825,1549.633,1578.916,7250337200.0
2025-08-26,1579.577,1554.725,1563.313,5454586700.0
2025-08-27,1617.337,1550.902,1550.902,6943275900.0
2025-08-28,1617.922,1547.203,1617.465,7341295800.0
2025-08-29,1610.38,1576.188,1603.089,6203237700.0
2025-09-01,1634.623,1593.961,1628.334,6411332800.0
2025-09-02,1631.833,1570.468,1584.159,6462952700.0
2025-09-03,1595.376,1558.065,1567.403,5040982800.0
2025-09-04,1570.687,1462.335,1486.036,6099882600.0
2025-09-05,1548.892,1479.236,1544.302,5459614500.0
2025-09-08,1560.239,1526.199,1555.799,5608197600.0
2025-09-09,1556.903,1516.12,1523.229,4793225000.0
2025-09-10,1547.861,1516.844,1529.173,4148887800.0
2025-09-11,1597.874,1509.253,1596.455,5337709800.0
2025-09-12,1627.288,1592.799,1607.116,5296375000.0
2025-09-15,1630.356,1601.814,1605.077,4993519000.0
2025-09-16,1629.09,1605.211,1623.414,4469412300.0
2025-09-17,1644.702,1607.323,1638.713,4951256200.0
2025-09-18,1697.362,1615.118,1643.034,6879330400.0
2025-09-19,1661.05,1616.482,1622.55,4940436800.0
2025-09-22,1665.065,1616.256,1658.351,4626074000.0
2025-09-23,1667.276,1600.071,1645.558,5632334200.0
2025-09-24,1707.498,1634.869,1695.902,6190258500.0
2025-09-25,1719.261,1690.407,1704.555,5328387000.0
2025-09-26,1709.171,1669.453,1671.022,5144164600.0
2025-09-29,1692.65,1651.954,1690.759,4942982000.0
2025-09-30,1728.6,1701.031,1717.005,4996965800.0
2025-10-09,1777.508,1729.255,1744.273,6560543700.0
2025-10-10,1723.664,1657.627,1665.312,5853835900.0
2025-10-13,1681.009,1604.653,1678.566,5390214100.0
2025-10-14,1698.47,1602.401,1611.425,5618620800.0
2025-10-15,1641.354,1593.515,1641.354,4306975300.0
2025-10-16,1652.354,1618.504,1625.448,4022373400.0
2025-10-17,1624.155,1562.063,1564.022,4185995900.0
2025-10-20,1606.033,1566.583,1577.918,3555205200.0
2025-10-21,1620.713,1578.795,1618.228,3827362900.0
2025-10-22,1631.533,1595.039,1615.373,3437429900.0
2025-10-23,1609.342,1578.204,1604.726,3258785600.0
2025-10-24,1664.148,1621.125,1661.66,4139185000.0
2025-10-27,1694.893,1659.305,1685.373,4832936800.0
2025-10-28,1696.192,1664.936,1675.373,4267967900.0
2025-10-29,1692.944,1665.601,1691.175,4521189100.0
2025-10-30,1694.993,1666.799,1667.814,4944329900.0
2025-10-31,1677.68,1647.657,1650.514,5228878900.0
2025-11-03,1645.025,1608.95,1640.975,4744943100.0
2025-11-04,1645.449,1604.018,1615.616,3830951000.0
2025-11-05,1623.477,1585.154,1616.075,3856094200.0
2025-11-06,1657.78,1623.441,1656.475,4160168100.0
2025-11-07,1655.971,1632.148,1639.824,4187944700.0
2025-11-10,1656.737,1615.762,1635.669,4379296500.0
2025-11-11,1652.76,1616.881,1620.333,4281098500.0
2025-11-12,1621.766,1592.874,1610.395,4192776400.0
2025-11-13,1640.071,1606.371,1632.057,4357063000.0
2025-11-14,1629.711,1602.109,1602.109,4222602900.0
2025-11-17,1618.269,1590.566,1599.648,3958289200.0
2025-11-18,1612.745,1589.754,1596.412,4059670800.0
2025-11-19,1602.657,1572.422,1578.39,3462482600.0
2025-11-20,1597.923,1560.999,1561.887,3128380200.0
2025-11-21,1544.552,1502.139,1503.36,4021729600.0
2025-11-24,1538.341,1499.876,1529.397,3517396000.0
2025-11-25,1568.827,1539.562,1547.691,3634294500.0
2025-11-26,1574.562,1541.003,1560.57,3505652200.0
2025-11-27,1595.642,1562.524,1564.1,3610324200.0
2025-11-28,1584.056,1557.401,1584.056,3615121300.0
2025-12-01,1591.346,1569.301,1588.485,4066666800.0
2025-12-02,1585.45,1563.876,1567.483,3032248000.0
2025-12-03,1571.59,1545.387,1552.543,3040419000.0
2025-12-04,1567.709,1537.713,1565.288,2892107000.0
