date,n,pct_above_ma10,pct_above_ma5,pct_rsi_lt40,pct_up
2025-02-20,584,0.04280821917808219,0.0547945205479452,0.02054794520547945,0.0702054794520548
2025-02-21,584,0.053082191780821915,0.0684931506849315,0.15924657534246575,0.839041095890411
2025-02-24,583,0.051457975986277875,0.07375643224699828,0.1509433962264151,0.41509433962264153
2025-02-25,583,0.048027444253859346,0.06174957118353345,0.14751286449399656,0.43739279588336194
2025-02-26,583,0.060034305317324184,0.7598627787307033,0.12864493996569468,0.7547169811320755
2025-02-27,581,0.04991394148020654,0.5886402753872634,0.12048192771084337,0.387263339070568
2025-02-28,581,0.024096385542168676,0.16351118760757316,0.16695352839931152,0.058519793459552494
2025-03-03,580,0.015517241379310345,0.24310344827586206,0.14655172413793102,0.6327586206896552
2025-03-04,579,0.03626943005181347,0.5215889464594128,0.11226252158894647,0.8393782383419689
2025-03-05,579,0.46286701208981,0.5664939550949913,0.11053540587219343,0.41278065630397237
2025-03-06,578,0.7508650519031141,0.9013840830449827,0.08650519031141868,0.8875432525951558
2025-03-07,578,0.5882352941176471,0.6349480968858131,0.09515570934256055,0.27854671280276816
2025-03-10,578,0.615916955017301,0.5813148788927336,0.0726643598615917,0.5605536332179931
2025-03-11,579,0.5716753022452504,0.4749568221070812,0.08117443868739206,0.41968911917098445
2025-03-12,579,0.5561312607944733,0.3765112262521589,0.08635578583765112,0.3160621761658031
2025-03-13,581,0.33390705679862304,0.1703958691910499,0.10671256454388985,0.13253012048192772
2025-03-14,581,0.5077452667814114,0.43373493975903615,0.07056798623063683,0.8588640275387264
2025-03-17,581,0.5094664371772806,0.5714285714285714,0.06368330464716007,0.5559380378657487
2025-03-18,582,0.5721649484536082,0.7061855670103093,0.05154639175257732,0.634020618556701
2025-03-19,582,0.4381443298969072,0.46735395189003437,0.061855670103092786,0.23024054982817868
2025-03-20,582,0.3711340206185567,0.29037800687285226,0.07388316151202749,0.2646048109965636
2025-03-21,582,0.17010309278350516,0.1013745704467354,0.12199312714776632,0.0979381443298969
2025-03-24,584,0.125,0.07705479452054795,0.16095890410958905,0.22602739726027396
2025-03-25,585,0.11282051282051282,0.10256410256410256,0.19829059829059828,0.3606837606837607
2025-03-26,585,0.1623931623931624,0.25982905982905985,0.1452991452991453,0.6752136752136753
2025-03-27,584,0.2482876712328767,0.4863013698630137,0.13356164383561644,0.4897260273972603
2025-03-28,583,0.19039451114922812,0.3293310463121784,0.18696397941680962,0.21269296740994853
2025-03-31,583,0.19897084048027444,0.31732418524871353,0.22984562607204118,0.34991423670668953
2025-04-01,583,0.38078902229845624,0.5437392795883362,0.12521440823327615,0.7392795883361921
2025-04-02,583,0.4665523156089194,0.6329331046312179,0.12864493996569468,0.5986277873070326
2025-04-03,583,0.33276157804459694,0.38078902229845624,0.1646655231560892,0.18010291595197256
2025-04-07,582,0.022336769759450172,0.013745704467353952,0.8092783505154639,0.012027491408934709
2025-04-08,583,0.0274442538593482,0.02058319039451115,0.725557461406518,0.8421955403087479
2025-04-09,583,0.09090909090909091,0.16295025728987994,0.5368782161234992,0.9193825042881647
2025-04-10,584,0.17465753424657535,0.815068493150685,0.3304794520547945,0.916095890410959
2025-04-11,584,0.3904109589041096,0.9914383561643836,0.1934931506849315,0.8715753424657534
2025-04-14,585,0.5435897435897435,0.9777777777777777,0.15384615384615385,0.6871794871794872
2025-04-15,585,0.6068376068376068,0.8547008547008547,0.15213675213675212,0.39487179487179486
2025-04-16,585,0.4512820512820513,0.28888888888888886,0.24786324786324787,0.1452991452991453
2025-04-17,585,0.6803418803418804,0.3299145299145299,0.2153846153846154,0.5948717948717949
2025-04-18,585,0.7555555555555555,0.28717948717948716,0.21367521367521367,0.35213675213675216
2025-04-21,585,0.8598290598290599,0.7606837606837606,0.1094017094017094,0.8683760683760684
2025-04-22,585,0.7589743589743589,0.7623931623931623,0.11965811965811966,0.4478632478632479
2025-04-23,585,0.7572649572649572,0.7658119658119659,0.07008547008547009,0.6341880341880342
2025-04-24,585,0.49914529914529915,0.40854700854700854,0.11623931623931624,0.2341880341880342
2025-04-25,584,0.4863013698630137,0.3698630136986301,0.12157534246575342,0.4708904109589041
2025-04-28,584,0.3767123287671233,0.2773972602739726,0.1917808219178082,0.3099315068493151
2025-04-29,584,0.5393835616438356,0.5034246575342466,0.1267123287671233,0.7157534246575342
2025-04-30,580,0.6603448275862069,0.7258620689655172,0.08793103448275862,0.7275862068965517
2025-05-06,584,0.8236301369863014,0.8801369863013698,0.039383561643835614,0.8972602739726028
2025-05-07,584,0.809931506849315,0.8681506849315068,0.030821917808219176,0.4965753424657534
2025-05-08,584,0.8373287671232876,0.8458904109589042,0.017123287671232876,0.7311643835616438
2025-05-09,584,0.6626712328767124,0.398972602739726,0.04280821917808219,0.13527397260273974
2025-05-12,584,0.773972602739726,0.589041095890411,0.0273972602739726,0.7842465753424658
2025-05-13,585,0.7162393162393162,0.4205128205128205,0.02905982905982906,0.3367521367521368
2025-05-14,585,0.629059829059829,0.29743589743589743,0.037606837606837605,0.26666666666666666
2025-05-15,585,0.3145299145299145,0.15726495726495726,0.0735042735042735,0.14871794871794872
2025-05-16,586,0.36177474402730375,0.3122866894197952,0.07849829351535836,0.6006825938566553
2025-05-19,586,0.40102389078498296,0.4641638225255973,0.06996587030716724,0.5887372013651877
2025-05-20,586,0.4863481228668942,0.6348122866894198,0.05631399317406143,0.6928327645051194
2025-05-21,586,0.40102389078498296,0.49146757679180886,0.08361774744027303,0.26621160409556316
2025-05-22,586,0.2832764505119454,0.2525597269624573,0.12627986348122866,0.1962457337883959
2025-05-23,586,0.22696245733788395,0.17918088737201365,0.1962457337883959,0.25426621160409557
2025-05-26,585,0.28888888888888886,0.24786324786324787,0.147008547008547,0.6598290598290598
2025-05-27,585,0.3367521367521368,0.3452991452991453,0.18803418803418803,0.40512820512820513
2025-05-28,585,0.28547008547008546,0.3247863247863248,0.22393162393162394,0.30427350427350425
2025-05-29,585,0.6017094017094017,0.8188034188034188,0.08205128205128205,0.9145299145299145
2025-05-30,585,0.40341880341880343,0.4495726495726496,0.147008547008547,0.21025641025641026
2025-06-03,585,0.5247863247863248,0.5743589743589743,0.1264957264957265,0.6683760683760683
2025-06-04,585,0.6461538461538462,0.6991452991452991,0.09743589743589744,0.6632478632478632
2025-06-05,585,0.7948717948717948,0.7333333333333333,0.0547008547008547,0.6717948717948717
2025-06-06,585,0.7487179487179487,0.6957264957264957,0.07692307692307693,0.4581196581196581
2025-06-09,585,0.8085470085470086,0.7811965811965812,0.06666666666666667,0.7487179487179487
2025-06-10,586,0.5511945392491467,0.37542662116040953,0.11774744027303755,0.17064846416382254
2025-06-11,587,0.5638841567291312,0.3901192504258944,0.09028960817717206,0.545144804088586
2025-06-12,587,0.5059625212947189,0.40545144804088584,0.11754684838160136,0.43781942078364566
