date,n,pct_above_ma10,pct_above_ma5,pct_rsi_lt40,pct_up,pct_above_ma5_prev,idx_close,idx_ret,ma5,ma10,rsi,K,D,macd,macd_prev,vol,vol_avg5,max10,drawdown10
2025-02-20,584,0.04280821917808219,0.0547945205479452,0.02054794520547945,0.0702054794520548,,1210.684,0.006645929835676689,1191.7104000000002,1188.197,62.341542856383946,86.74145300621629,84.31143798225561,11.80161125724257,11.44726583336108,4016079200,3907850680.0,1210.684,0.0
2025-02-21,584,0.053082191780821915,0.0684931506849315,0.15924657534246575,0.839041095890411,0.0547945205479452,1263.68,0.0437736023603188,1208.0,1197.301,69.44133412791915,90.38257640114044,86.33515078855055,17.87730873804746,11.80161125724257,5120557200,3967680140.0,1263.68,0.0
2025-02-24,583,0.051457975986277875,0.07375643224699828,0.1509433962264151,0.41509433962264153,0.0684931506849315,1263.095,-0.00046293365408967,1221.6208,1204.2735,69.28605026706768,90.05068907450769,87.57366355053627,20.340966252715347,17.87730873804746,4733407200,4248539160.0,1263.68,0.0004629336540896717
2025-02-25,583,0.048027444253859346,0.06174957118353345,0.14751286449399656,0.43739279588336194,0.07375643224699828,1266.445,0.0026522153915580216,1241.319,1212.8041,69.70385111316695,88.88421474715466,88.01051394940906,20.867401933131788,20.340966252715347,4402899900,4381724800.0,1266.445,0.0
2025-02-26,583,0.060034305317324184,0.7598627787307033,0.12864493996569468,0.7547169811320755,0.06174957118353345,1292.398,0.020492796765749777,1259.2604,1221.9047999999998,72.79174123618294,92.35367504139683,89.45823431340497,22.98940815029693,20.867401933131788,4818860700,4490305620.0,1292.398,0.0
2025-02-27,581,0.04991394148020654,0.5886402753872634,0.12048192771084337,0.387263339070568,0.7598627787307033,1292.216,-0.00014082349245359005,1275.5668,1233.6386,72.7357537639098,92.04953455956091,90.32200106212362,22.612101197001408,22.98940815029693,4841414600,4618360840.0,1292.398,0.00014082349245357574
2025-02-28,581,0.024096385542168676,0.16351118760757316,0.16695352839931152,0.058519793459552494,0.5886402753872634,1233.614,-0.04535000340500339,1269.5536,1238.7768,57.42113310182736,78.03997332514018,86.22799181646246,13.180058829124135,22.612101197001408,4862753900,4783427920.0,1292.398,0.045484440551594695
2025-03-03,580,0.015517241379310345,0.24310344827586206,0.14655172413793102,0.6327586206896552,0.16351118760757316,1227.519,-0.004940767533442414,1262.4384,1242.0296,56.098154471109154,66.63836409330946,79.6981159087448,5.238835097422424,13.180058829124135,4044420500,4731867260.0,1292.398,0.050200480037882994
2025-03-04,579,0.03626943005181347,0.5215889464594128,0.11226252158894647,0.8393782383419689,0.24310344827586206,1249.103,0.017583434553762656,1258.9699999999998,1250.1444999999999,59.644092150452416,60.47940904977442,73.291880289088,2.1691975439090783,5.238835097422424,3657628900,4594069920.0,1292.398,0.03349974233943402
2025-03-05,579,0.46286701208981,0.5664939550949913,0.11053540587219343,0.41278065630397237,0.5215889464594128,1253.741,0.003713064495081575,1251.2386000000001,1255.2495,60.384543420176556,55.40474311832003,67.32950123216534,0.14603899937259257,2.1691975439090783,3506116200,4445015720.0,1292.398,0.029911064548227347
2025-03-06,578,0.7508650519031141,0.9013840830449827,0.08650519031141868,0.8875432525951558,0.5664939550949913,1292.043,0.030550169452861375,1251.204,1263.3854000000001,65.94208596963173,65.63902610325181,66.7660095225275,3.1812333551064,0.14603899937259257,4491746900,4182466820.0,1292.398,0.00027468318582976625
2025-03-07,578,0.5882352941176471,0.6349480968858131,0.09515570934256055,0.27854671280276816,0.9013840830449827,1278.06,-0.010822395229880044,1260.0932,1264.8234,62.49518897420535,67.1897341095548,66.9072510515366,2.547131628874439,3.1812333551064,3864904900,4112533280.0,1292.398,0.011094105685709794
2025-03-10,578,0.615916955017301,0.5813148788927336,0.0726643598615917,0.5605536332179931,0.6349480968858131,1280.332,0.0017776943179508287,1270.6558,1266.5471,62.83512016059214,69.08017383915126,67.63155864740816,1.7153336873346916,2.547131628874439,3506814800,3912963480.0,1292.398,0.009336133296399256
2025-03-11,579,0.5716753022452504,0.4749568221070812,0.08117443868739206,0.41968911917098445,0.5813148788927336,1276.868,-0.002705548248423173,1276.2087999999999,1267.5894,61.91372651541654,69.03440117615058,68.09917282365564,0.0672019788626983,1.7153336873346916,3249433200,3805442340.0,1292.398,0.012016422185735334
2025-03-12,579,0.5561312607944733,0.3765112262521589,0.08635578583765112,0.3160621761658031,0.4749568221070812,1269.852,-0.005494694831415514,1279.431,1265.3348,59.99482393772815,68.30561241810845,68.16798602180657,-2.4597079828068047,0.0672019788626983,3279715500,3723803200.0,1292.216,0.017306704142341377
2025-03-13,581,0.33390705679862304,0.1703958691910499,0.10671256454388985,0.13253012048192772,0.3765112262521589,1241.031,-0.022696345715878863,1269.2286,1260.2163,52.76077713796372,55.912660054205936,64.0828773659397,-8.182436480153434,-2.4597079828068047,3502870500,3678523060.0,1292.043,0.039481658118189523
2025-03-14,581,0.5077452667814114,0.43373493975903615,0.07056798623063683,0.8588640275387264,0.1703958691910499,1261.62,0.016590238277690128,1265.9406,1263.0169,56.770874123551295,56.156820735912945,61.44085848926411,-9.283136271840142,-8.182436480153434,3319634200,3480747780.0,1292.043,0.023546429956278547
2025-03-17,581,0.5094664371772806,0.5714285714285714,0.06368330464716007,0.5559380378657487,0.43373493975903615,1262.833,0.0009614622469524825,1262.4407999999999,1266.5483,57.00245676564082,53.083914506459024,58.65521049499575,-9.88104147540826,-9.283136271840142,2980592800,3371693640.0,1292.043,0.022607606712779536
2025-03-18,582,0.5721649484536082,0.7061855670103093,0.05154639175257732,0.634020618556701,0.5714285714285714,1269.227,0.005063218968778926,1260.9126,1268.5607,58.27145014819573,54.38451495668181,57.23164531555777,-9.448662068400743,-9.88104147540826,3054909300,3266449240.0,1292.043,0.017658855007147443
2025-03-19,582,0.4381443298969072,0.46735395189003437,0.061855670103092786,0.23024054982817868,0.7061855670103093,1255.852,-0.010537910082278446,1258.1126,1268.7718,54.63880677437471,48.79461985975634,54.41930349695729,-10.894873650303744,-9.448662068400743,2880711800,3227544460.0,1292.043,0.02801067766320456
2025-03-20,582,0.3711340206185567,0.29037800687285226,0.07388316151202749,0.2646048109965636,0.46735395189003437,1245.247,-0.008444466386166583,1258.9558000000002,1264.0921999999998,51.877301477011564,40.04951933939932,49.62937544443797,-13.064355390420552,-10.894873650303744,2757477100,3147743720.0,1280.332,0.02740304858427348
2025-03-21,582,0.17010309278350516,0.1013745704467354,0.12199312714776632,0.0979381443298969,0.29037800687285226,1214.61,-0.02460315102144406,1249.5538000000001,1257.7472,44.82844601288269,28.75374429636475,42.67083172841357,-18.100455610527185,-13.064355390420552,3024839100,2998665040.0,1280.332,0.05133199826295071
2025-03-24,584,0.125,0.07705479452054795,0.16095890410958905,0.22602739726027396,0.1013745704467354,1208.351,-0.005153094408904768,1238.6574,1250.5491,43.52724088648082,26.23137170679058,37.19101172120591,-21.516547446188248,-18.100455610527185,2907665000,2939706020.0,1276.868,0.05366020606671937
2025-03-25,585,0.11282051282051282,0.10256410256410256,0.19829059829059828,0.3606837606837607,0.07705479452054795,1195.266,-0.010828807192612144,1223.8652,1242.3889,40.85722176231982,20.35362540735068,31.5785496165875,-24.560370414865957,-21.516547446188248,2357343200,2925120460.0,1269.852,0.05873597868098015
2025-03-26,585,0.1623931623931624,0.25982905982905985,0.1452991452991453,0.6752136752136753,0.10256410256410256,1198.349,0.0025793421715332165,1212.3646,1235.2386000000001,41.76364678420594,17.51677978806905,26.89129300708135,-25.091714210631675,-24.560370414865957,2158968300,2785607240.0,1269.227,0.055843438565363133
2025-03-27,584,0.2482876712328767,0.4863013698630137,0.13356164383561644,0.4897260273972603,0.25982905982905985,1207.211,0.007395174527621062,1204.7574,1231.8565999999998,44.40141602245349,18.73472850561283,24.172438173258513,-23.2256371652266,-25.091714210631675,2527478400,2641258540.0,1269.227,0.04886123601215549
